At 2019-01-24 05:25:31 Save Data：
Time_ms Input Output OutputUc
1 3250 0 13107
2 3497 839 -13107
3 3736 -899 13107
4 3963 -485 13107
5 4175 1340 13107
6 4369 813 13107
7 4541 230 13107
8 4688 820 13107
9 4809 490 13107
10 4902 859 13107
11 4964 823 13107
12 4996 1025 13107
13 4996 1162 13107
14 4964 1175 13107
15 4902 1382 13107
16 4809 1421 13107
17 4688 1627 13107
18 4541 1623 13107
19 4369 1859 13107
20 4175 1876 13107
21 3963 2071 13107
22 3736 2089 13107
23 3497 2338 13107
24 3250 2334 13107
25 2999 2534 9815
26 2749 2453 8522
27 2502 2717 3816
28 2263 2492 4060
29 2036 2792 -859
30 1824 2596 -686
31 1630 2517 -1538
32 1458 2376 -1599
33 1311 2389 -3001
34 1190 2564 -5805
35 1097 2651 -7498
36 1035 2404 -5613
37 1003 2548 -7377
38 1003 2276 -4719
39 1035 2369 -5469
40 1097 2224 -3571
41 1190 2156 -2199
42 1311 2268 -2397
43 1458 2122 209
44 1630 2090 1881
45 1824 2228 2026
46 2036 2427 1717
47 2263 2515 2640
48 2502 2121 8487
49 2749 2256 9108
50 3000 2304 10643
51 3250 2284 12860
52 3497 2544 12241
53 3736 2427 13107
54 3963 2736 13107
55 4175 2702 13107
56 4369 2915 13107
57 4541 2975 13107
58 4688 3121 13107
59 4809 3205 13107
60 4902 3367 13107
61 4964 3402 13107
62 4996 3550 13107
63 4996 3672 13046
64 4964 3778 11725
65 4902 3871 10283
66 4809 3958 8646
67 4688 4023 7008
68 4541 4077 5252
69 4369 4130 3308
70 4175 4140 2149
71 3963 4179 -522
72 3736 4110 -1713
73 3497 3990 -2484
74 3250 3717 -1791
75 2999 3760 -4294
76 2749 4227 -11035
77 2502 3720 -8016
78 2263 3920 -12002
79 2036 3767 -12357
80 1824 3454 -11006
81 1630 3664 -13107
82 1458 3145 -10978
83 1311 3233 -13107
84 1190 3016 -11980
85 1097 2812 -10742
86 1035 2835 -11528
87 1003 2505 -8537
88 1003 2599 -9517
89 1035 2306 -6378
90 1097 2292 -5775
91 1190 2285 -4992
92 1311 2028 -1479
93 1458 2263 -2667
94 1630 2083 497
95 1824 2010 3249
96 2036 2251 2060
97 2263 2552 870
98 2502 2477 4040
99 2749 1929 11015
100 3000 2438 7954
101 3250 2011 13107
102 3497 2530 11067
103 3736 2290 13107
104 3963 2599 13107
105 4175 2618 13107
106 4369 2734 13107
107 4541 2917 13107
108 4688 2913 13107
109 4809 3215 13107
110 4902 3113 13107
111 4964 3397 13107
112 4996 3361 13107
113 4996 3612 12506
114 4964 3577 12612
115 4902 3849 9384
116 4809 3627 10864
117 4688 4095 5195
118 4541 3688 8072
